Feature,Importance
CODE_GENDER,0.35587800593658975
NAME_EDUCATION_TYPE,0.12430596414150505
FLAG_OWN_CAR,0.10489715827663744
EXT_SOURCE_2,0.09465234312470869
NAME_TYPE_SUITE,0.04003104598248032
FLAG_OWN_REALTY,0.037653748977966445
CNT_FAM_MEMBERS,0.03451968118525441
NAME_FAMILY_STATUS,0.02763206525224299
OBS_60_CNT_SOCIAL_CIRCLE,0.018308874407177603
FLAG_PHONE,0.01220627636995864
NAME_INCOME_TYPE,0.012062896306950463
OCCUPATION_TYPE,0.011425611202733294
EXT_SOURCE_1,0.011324864905893052
ORGANIZATION_TYPE,0.010047415898744277
OBS_30_CNT_SOCIAL_CIRCLE,0.008718864705889567
CNT_CHILDREN,0.008656180146734494
DAYS_EMPLOYED,0.008407698792892855
DAYS_BIRTH,0.006559170158461103
AMT_CREDIT,0.006369580927786554
WEEKDAY_APPR_PROCESS_START,0.0059391096141144465
AMT_ANNUITY,0.00586368532616891
DEF_60_CNT_SOCIAL_CIRCLE,0.005379843294853304
AMT_INCOME_TOTAL,0.004909621445457074
DAYS_ID_PUBLISH,0.00458283243660545
DAYS_LAST_PHONE_CHANGE,0.004427884852042765
NAME_HOUSING_TYPE,0.004221373912615352
AMT_GOODS_PRICE,0.003922020910186255
HOUR_APPR_PROCESS_START,0.003699443215220279
DEF_30_CNT_SOCIAL_CIRCLE,0.003340656683032185
FLAG_DOCUMENT_3,0.0028237313221968893
DAYS_REGISTRATION,0.0026761644175986687
REGION_POPULATION_RELATIVE,0.00265952539372949
FLAG_DOCUMENT_6,0.0025052524815694327
NAME_CONTRACT_TYPE,0.002125246525694131
LIVE_CITY_NOT_WORK_CITY,0.0016745919355365907
OWN_CAR_AGE,0.0012110498219332095
REGION_RATING_CLIENT_W_CITY,0.0011965813323758236
AMT_REQ_CREDIT_BUREAU_YEAR,0.001176232256470219
REG_CITY_NOT_WORK_CITY,0.0007803641392211491
REG_CITY_NOT_LIVE_CITY,0.00043433536836947305
EXT_SOURCE_3,0.0003428794580873812
REGION_RATING_CLIENT,0.00024407161110158912
FLAG_DOCUMENT_8,0.00020605554521288037
